,单价,交易数量,交易日期,交易方式,交易额
0,0.902,110865,20190107,B,100000
1,0.962,110865,20190218,S,106652.12999999999
2,0.975,109387,20190219,B,106652.12999999999
3,0.97,109387,20190222,S,106105.39
4,1.049,101149,20190225,B,106105.39
5,1.018,101149,20190311,S,102969.682
6,1.043,98725,20190319,B,102969.682
7,1.021,98725,20190325,S,100798.22499999999
8,1.057,95363,20190401,B,100798.22499999999
9,1.079,95363,20190423,S,102896.677
10,1.022,100682,20190522,B,102896.677
11,1.017,100682,20190524,S,102393.594
12,1.026,99799,20190527,B,102393.594
13,1.018,99799,20190603,S,101595.382
14,1.025,99117,20190606,B,101595.382
15,1.058,99117,20190626,S,104865.78600000001
16,1.067,98281,20190628,B,104865.78600000001
17,1.082,98281,20190701,S,106340.042
18,1.078,98646,20190702,B,106340.042
19,1.078,98646,20190704,S,106340.388
20,1.078,98646,20190705,B,106340.388
21,1.056,98646,20190709,S,104170.176
22,1.068,97538,20190715,B,104170.176
23,1.061,97538,20190717,S,103487.818
24,1.071,96627,20190722,B,103487.818
25,1.068,96627,20190802,S,103197.636
26,1.05,98283,20190813,B,103197.636
27,1.058,98283,20190814,S,103983.414
28,1.048,99221,20190820,B,103983.414
29,1.045,99221,20190821,S,103685.94499999999
30,1.034,100277,20190826,B,103685.94499999999
31,1.039,100277,20190827,S,104187.80299999999
32,1.06,98290,20190905,B,104187.80299999999
33,1.055,98290,20190918,S,103695.95
34,1.069,97003,20190927,B,103695.95
35,1.114,97003,20191024,S,108061.342
36,1.124,96140,20191025,B,108061.342
37,1.12,96140,20191029,S,107676.80000000002
38,1.133,95037,20191104,B,107676.80000000002
39,1.116,95037,20191112,S,106061.29200000002
40,1.095,96860,20191206,B,106061.29200000002
41,1.097,96860,20191209,S,106255.42
42,1.099,96684,20191212,B,106255.42
